"tree_type","pair_type","excluded_status","pairwise_distance"
"within-host","different_household",NA,0.004275
"within-host","different_household",NA,0.00529
"within-host","different_household",NA,0.005026
"within-host","different_household",NA,0.005126
"within-host","different_household",NA,0.004723
"within-host","different_household",NA,0.007503
"within-host","different_household",NA,0.00497
"within-host","different_household",NA,0.004712
"within-host","different_household",NA,0.00478
"within-host","different_household",NA,0.005727
"within-host","different_household",NA,0.004971
"within-host","different_household",NA,0.004847
"within-host","different_household",NA,0.005176
"within-host","different_household",NA,0.00473
"within-host","different_household",NA,0.006085
"within-host","different_household",NA,0.004506
"within-host","different_household",NA,0.004852
"within-host","different_household",NA,0.004738
"within-host","different_household",NA,0.005489
"within-host","different_household",NA,0.004916
"within-host","different_household",NA,0.00496
"within-host","different_household",NA,0.004636
"within-host","different_household",NA,0.005153
"within-host","different_household",NA,0.004883
"within-host","different_household",NA,0.004715
"within-host","different_household",NA,0.004892
"within-host","different_household",NA,0.004757
"within-host","different_household",NA,0.004672
"within-host","different_household",NA,0.007207
"within-host","different_household",NA,0.004717
"within-host","different_household",NA,0.004946
"within-host","different_household",NA,0.004399
"within-host","different_household",NA,0.005238
"within-host","different_household",NA,0.004345
"within-host","different_household",NA,0.004532
"within-host","different_household",NA,0.004852
"within-host","different_household",NA,0.004648
"within-host","different_household",NA,0.003495
"within-host","different_household",NA,0.002165
"within-host","different_household",NA,0.002632
"within-host","different_household",NA,0.001825
"within-host","different_household",NA,0.001317
"within-host","different_household",NA,0.001825
"within-host","different_household",NA,0.001942
"within-host","different_household",NA,0.001609
"within-host","different_household",NA,0.002115
"within-host","different_household",NA,0.001773
"within-host","different_household",NA,0.002053
"within-host","different_household",NA,0.00174
"within-host","different_household",NA,0.001693
"within-host","different_household",NA,0.001962
"within-host","different_household",NA,0.001904
"within-host","different_household",NA,0.001503
"within-host","different_household",NA,0.001407
"within-host","different_household",NA,0.00231
"within-host","different_household",NA,0.002342
"within-host","different_household",NA,0.001751
"within-host","different_household",NA,0.00169
"within-host","different_household",NA,0.001628
"within-host","different_household",NA,0.001801
"within-host","different_household",NA,0.002115
"within-host","different_household",NA,0.001889
"within-host","different_household",NA,0.002041
"within-host","different_household",NA,0.002441
"within-host","different_household",NA,0.001885
"within-host","different_household",NA,0.002011
"within-host","different_household",NA,0.001804
"within-host","different_household",NA,0.001868
"within-host","different_household",NA,0.002231
"within-host","different_household",NA,0.001774
"within-host","different_household",NA,0.001724
"within-host","different_household",NA,0.00222
"within-host","different_household",NA,0.002898
"within-host","different_household",NA,0.001902
"within-host","different_household",NA,0.002022
"within-host","different_household",NA,0.001887
"within-host","different_household",NA,0.002438
"within-host","different_household",NA,0.002036
"within-host","different_household",NA,0.002442
"within-host","different_household",NA,0.002347
"within-host","different_household",NA,0.002286
"within-host","different_household",NA,0.002079
"within-host","different_household",NA,0.001877
"within-host","different_household",NA,0.002318
"within-host","different_household",NA,0.002099
"within-host","different_household",NA,0.003241
"within-host","different_household",NA,0.001952
"within-host","different_household",NA,0.00258
"within-host","different_household",NA,0.002729
"within-host","different_household",NA,0.002914
"within-host","different_household",NA,0.003005
"within-host","different_household",NA,0.002759
"within-host","different_household",NA,0.00296
"within-host","different_household",NA,0.003001
"within-host","different_household",NA,0.002686
"within-host","different_household",NA,0.003836
"within-host","different_household",NA,0.003753
"within-host","different_household",NA,0.002525
